Team;Games Played;Win;Draw;Loss;Goals For;Goals Against
West Germany;7;3;2;2;8;7
France;7;4;2;1;12;6
Belgium;7;2;2;3;12;15
Mexico;5;3;2;0;6;2
Morocco;4;1;2;1;3;2
Italy;4;1;2;1;5;6
Paraguay;4;1;2;1;4;6
Bulgaria;4;0;2;2;2;6
Uruguay;4;0;2;2;2;8
Argentina;7;6;1;0;14;5
Brazil;5;4;1;0;10;1
Spain;5;3;1;1;11;4
England;5;2;1;2;7;3
Soviet Union;4;2;1;1;12;5
Poland;4;1;1;2;1;7
Scotland;3;0;1;2;1;3
South Korea;3;0;1;2;4;7
Northern Ireland;3;0;1;2;2;6
Algeria;3;0;1;2;1;5
Denmark;4;3;0;1;10;6
Portugal;3;1;0;2;2;4
Hungary;3;1;0;2;2;9
Iraq;3;0;0;3;1;4
Canada;3;0;0;3;0;5
